updated,A5,A4,A3,A2,A1,A0
28/09/2021 23:34:29,0.000,3.472,5.510,0.000,0.000,0.327
28/09/2021 23:34:24,0.000,3.447,5.510,0.000,0.000,0.415
28/09/2021 23:34:19,0.000,3.472,5.498,0.000,0.000,0.420
28/09/2021 23:34:14,0.000,3.459,5.510,0.000,0.000,0.415
28/09/2021 23:34:09,0.000,3.447,5.522,0.000,0.000,0.381
28/09/2021 23:34:04,0.000,3.459,5.510,0.000,0.000,0.401
28/09/2021 23:33:59,0.000,3.459,5.498,0.000,0.000,0.362
28/09/2021 23:33:54,0.000,3.447,5.498,0.000,0.000,0.396
28/09/2021 23:33:49,0.000,3.459,5.498,0.000,0.000,0.323
28/09/2021 23:33:44,0.000,3.472,5.486,0.000,0.000,0.323
28/09/2021 23:33:39,0.000,3.472,5.498,0.000,0.000,0.415
28/09/2021 23:33:34,0.000,3.459,5.486,0.000,0.000,0.318
28/09/2021 23:33:29,0.000,3.459,5.486,0.000,0.000,0.425
28/09/2021 23:33:24,0.000,3.484,5.486,0.000,0.000,0.386
28/09/2021 23:33:19,0.000,3.472,5.510,0.000,0.000,0.415
28/09/2021 23:33:14,0.000,3.484,5.498,0.000,0.000,0.411
28/09/2021 23:33:09,0.000,3.472,5.462,0.000,0.000,0.386
28/09/2021 23:33:04,0.000,3.459,5.498,0.000,0.000,0.420
28/09/2021 23:32:59,0.000,3.472,5.486,0.000,0.000,0.401
28/09/2021 23:32:54,0.000,3.459,5.498,0.000,0.000,0.411
28/09/2021 23:32:49,0.000,3.472,5.462,0.000,0.000,0.425
28/09/2021 23:32:44,0.000,3.459,5.474,0.000,0.000,0.401
28/09/2021 23:32:39,0.000,3.459,5.498,0.000,0.000,0.415
28/09/2021 23:32:34,0.000,3.472,5.498,0.000,0.000,0.415
28/09/2021 23:32:29,0.000,3.472,5.474,0.000,0.000,0.406
28/09/2021 23:32:24,0.000,3.472,5.462,0.000,0.000,0.367
28/09/2021 23:32:19,0.000,3.447,5.474,0.000,0.000,0.323
28/09/2021 23:32:14,0.000,3.484,5.462,0.000,0.000,0.391
28/09/2021 23:32:09,0.000,3.484,5.474,0.000,0.000,0.327
28/09/2021 23:32:04,0.000,3.484,5.522,0.000,0.000,0.332
28/09/2021 23:31:59,0.000,3.484,5.474,0.000,0.000,0.430
28/09/2021 23:31:54,0.000,3.472,5.462,0.000,0.000,0.415
28/09/2021 23:31:49,0.000,3.459,5.462,0.000,0.000,0.386
28/09/2021 23:31:44,0.000,3.472,5.474,0.000,0.000,0.406
28/09/2021 23:31:39,0.000,3.472,5.486,0.000,0.000,0.371
28/09/2021 23:31:34,0.000,3.484,5.486,0.000,0.000,0.357
28/09/2021 23:31:29,0.000,3.472,5.474,0.000,0.000,0.430
28/09/2021 23:31:24,0.000,3.459,5.474,0.000,0.000,0.406
